"ID","区分","機種名","型式名","慣用名","短縮名","メーカー","内規","カテゴリー","型式番号","導入開始日","スマート","遊タイム","有効"
"10459","P","e冥妃転生","eメイヒテンセイCMP",,"e冥妃転生","メーシー",,"ライトミドル","5P1957","2026/6/8","1","0","1"
"10458","S","スマスロ BIRDIE WING -Golf Girls' Story-","LバーディーウイングBC",,"L BIRDIE WING","ユニバーサルブロス","6.5号機","AT","5S1538","2026/6/8","1","0","1"
"10457","P","e 学園黙示録ハイスクール・オブ・ザ・デッド3","eハイスクールオブザデッド3V1A",,"eHOTD3","高尾",,"ミドル","510835","2026/6/8","1","0","1"
"10456","P","e リング 最恐領域","eリング 最恐領域RHA",,"eリング 最恐領域","オレンジ",,"その他","5P1458","2026/4/20","1","0","1"
"10455","S","LBトリプルクラウンセブン","LBTCSFG",,"LBトリプルクラウンセブン","岡崎産業","6.5号機","A","5S1007","2026/4/6","1","0","1"
"10454","P","P ウルトラマンメビウス デカヘソ319","PウルトラマンメビウスM4",,"ウルトラマンメビウス 319","オッケー.",,"ミドル","5P1361","2026/4/6","0","0","1"
"10453","P","P にゃんこ大戦争 多様性のネコ 神さまにおまかせ88ver.","Pにゃんこ大戦争~多様性のネコ~88らいとばーじょんM2",,"にゃんこ大戦争 多様性のネコ 88ver.","京楽",,"甘デジ","5P0106","2026/4/6","0","0","1"
"10452","P","e転生したらスライムだった件2","e転生したらスライムだった件2MF",,"e転スラ2","サンセイR&D",,"その他","5P1693","2026/4/6","1","0","1"
"10451","P","e86-エイティシックス-","eエイティシックスMAM2",,"e86","アムテックス",,"ライトミドル","5P1519","2026/4/20","1","0","1"
"10450","P","e 化物語 鬼99ver.","e化物語2GSED",,"e化物語 99ver.","サミー",,"甘デジ","510868","2026/6/8","1","0","1"
"10449","S","スマスロスーパーリオエース2","Lパチスロスーパーリオエース2ND02H",,"Lスーパーリオエース2","山佐ネクスト","6.5号機","AT","5S1634","2026/5/11","1","0","1"
"10448","S","真打 吉宗","L/真打吉宗/A1",,"L真打吉宗","大都技研","6.5号機","AT","530504","2026/4/6","1","0","1"
"10447","P","eまわるん超ワープ ギンギラパラダイス VIVA FESTA","eギンパラVIVAFESTAHTA2",,"eギンパラ VIVA FESTA","サンスリー",,"ミドル","5P1714","2026/5/7","1","0","1"
"10446","S","スマスロ ビッグドリーム THE GOLDEN PUSHER","L ビッグドリーム KR",,"Lビッグドリーム","サミー","6.5号機","AT","531040","2026/5/11","1","0","1"
"10445","P","スマパチ SSSS.GRIDMAN メガSTART 159ver.","eグリッドマンBDN",,"eグリッドマン 159ver.","七匠",,"ライトミドル","510964","2026/3/16","1","0","1"
"10444","P","P モモキュンソード 速撃99ver.","P桃剣鬼神AD",,"モモキュンソード 99ver.","ソフィア",,"甘デジ","510751","2026/3/16","0","0","1"
"10443","P","PキングモンスターRUSH 67Ver.","PキングモンスターRUSH AK",,"キングモンスター 67Ver.","竹屋",,"甘デジ","4P1455","2026/3/16","0","0","1"
"10442","P","e 乃木坂46 II SWEET Version","e乃木坂46II_SweetVer.KA1",,"e 乃木坂46 II SWEET Version","京楽",,"ライトミドル","5P0591","2026/3/16","1","0","1"
"10441","P","PA戦国乙女7 終焉の関ヶ原 ときめき78バージョン「PB機」","PA戦国乙女7~78GO1",,"PA戦国乙女7「PB機」","アムテックス",,"甘デジ","5P0712","2026/3/2","0","0","1"
"10440","S","スマスロ バイオハザードRE:3","LバイオハザードRE:3 ZD",,"LバイオハザードRE:3","エンターライズ","6.5号機","AT","5S1629","2026/5/11","1","0","1"
"10439","P","eワンパンマン2～正義執行","eワンパンマン2~正義執行LM10",,"eワンパンマン2～正義執行","ニューギン",,"ライトミドル","5P1338","2026/3/2","1","0","1"
"10438","P","PAコマコマ倶楽部with坂本冬美89確変ループ10ラウンド極","PAコマコマ倶楽部with坂本冬美VLP1",,"コマコマ倶楽部with坂本冬美89","豊丸",,"甘デジ","5P1485","2026/4/6","0","1","1"
"10437","P","Pクイーンズブレイド奈落ナナエル79Ver.","Pクイーンズブレイド奈落V3B",,"Pクイーンズブレイド奈落79Ver.","高尾",,"甘デジ","511030","2026/5/11","0","0","1"
"10436","S","L虚構推理","L虚構推理ST",,"L虚構推理","D-light","6.5号機","AT","5S1217","2026/4/6","1","0","1"
"10435","P","P Re:ゼロから始める異世界生活 season2 129ver.","P/Re:ゼロから始める異世界生活season2/A10",,"Re:ゼロ2 129ver.","大都技研",,"ライトミドル","5P0968","2026/3/2","0","0","1"
"10434","P","P Re:ゼロから始める異世界生活 season2 249ver.","P/Re:ゼロから始める異世界生活season2/M04",,"Re:ゼロ2 129ver.","大都技研",,"ライトミドル","4P1864","2026/3/2","0","0","1"
"10433","P","e牙狼11～冴島大河～魔戒BURST Ver.","e牙狼トリプルバーストRF",,"e牙狼11","サンセイR&D",,"ミドル","510971","2026/3/2","1","0","1"
"10432","P","eFキン肉マン","eフィーバーキン肉マン",,"eキン肉マン","SANKYO",,"その他","5P1492","2026/4/20","1","0","1"
"10431","P","P攻殻機動隊SAC_2045 LT99ver.","P攻殻機動隊SAC_2045LTD-VS",,"攻殻機動隊SAC_2045 LT99ver.","D-light",,"甘デジ","410950","2026/3/2","0","0","1"
"10430","S","スマスロヨルムンガンド","LパチスロヨルムンガンドND01G",,"Lヨルムンガンド","山佐ネクスト","6.5号機","AT","531070","2026/4/6","1","0","1"
"10429","P","e 魔法少女まどか☆マギカ3 時間遡行～始まりの願い～","e魔法少女まどか☆マギカ3LPM1",,"eまどか3","京楽",,"ミドル","5P1435","2026/3/2","1","0","1"
"10428","P","eラグナドール 妖しき皇帝と終焉の夜叉姫","eラグナドールCMB",,"eラグナドール","メーシー",,"その他","510956","2026/4/6","1","0","1"
"10427","S","アニマルスロットドッチ","LアニマルスロットドッチZT",,"Lドッチ","北電子","6.5号機","AT","530564","2026/4/20","1","0","1"
"10426","P","e 終末のワルキューレ","e終末のワルキューレEREA",,"eワルキューレ","サミー",,"ライトミドル","511081","2026/4/6","1","0","1"
"10425","S","A-SLOT+ 異世界かるてっとBT","LB 異世界かるてっと KR",,"LBいせかる","サミー","6.5号機","A","5S1513","2026/4/6","1","0","1"
"10424","S","スマスロ ミリオンゴッド-神々の軌跡-","L/ミリオンゴッド/CX",,"Lミリオンゴッド","ミズホ","6.5号機","AT","530692","2026/4/20","1","0","1"
"10423","P","P痛いのは嫌なので防御力に極振りしたいと思います。 極振り129ver","P防振り 極振り129verFVZ",,"P防振り 129ver","藤商事",,"ライトミドル","510561","2026/2/16","0","0","1"
"10422","P","PAぱちんこ乗物娘 with CYBERJAPANDANCERS 2nd season 77ver.","PA乗物娘2N",,"乗物娘 77ver.","ニューギン",,"甘デジ","5P0492","2026/2/2","0","1","1"
"10421","P","PAぱちんこ乗物娘 with CYBERJAPANDANCERS 2nd season 59ver.「PB機」","PA乗物娘2GO2",,"乗物娘 59ver.","ニューギン",,"甘デジ","5P1292","2026/2/2","0","1","1"
